,Platform,Genre,Publisher,NA_Sales,Critic_Score,Critic_Count,User_Score,Year_of_Sales
125,PS3,Action,Take-Two Interactive,2.79,95.0,73.0,8.8,6.0
126,PS3,Sports,Electronic Arts,0.78,86.0,37.0,4.3,3.0
127,PS3,Action,Ubisoft,2.64,85.0,41.0,6.9,4.0
128,Wii,Platform,Nintendo,3.17,87.0,77.0,8.6,6.0
129,XB,Shooter,Microsoft Game Studios,4.98,97.0,68.0,8.6,15.0
130,PS3,Role-Playing,Bethesda Softworks,2.55,92.0,16.0,6.4,5.0
131,GBA,Role-Playing,Nintendo,2.57,76.0,28.0,9.0,12.0
132,PS2,Role-Playing,Sony Computer Entertainment,3.64,85.0,46.0,8.8,14.0
134,X360,Shooter,Microsoft Game Studios,4.34,83.0,94.0,7.1,7.0
135,X360,Action,Take-Two Interactive,3.7,95.0,96.0,9.0,6.0
136,GC,Platform,Nintendo,4.01,92.0,61.0,8.6,14.0
138,PC,Role-Playing,Activision,0.08,93.0,57.0,7.3,12.0
139,PS,Action,GT Interactive,3.11,87.0,22.0,8.1,17.0
140,X360,Shooter,Microsoft Game Studios,4.05,91.0,96.0,7.8,5.0
141,X360,Sports,Microsoft Game Studios,3.92,73.0,51.0,7.4,6.0
142,X360,Shooter,Microsoft Game Studios,3.54,94.0,88.0,8.3,10.0
143,PS4,Sports,Electronic Arts,0.8,82.0,47.0,5.7,2.0
144,PS2,Action,Konami Digital Entertainment,2.45,96.0,42.0,8.7,15.0
146,PS,Action,Konami Digital Entertainment,3.18,94.0,20.0,9.4,18.0
147,PS3,Action,Konami Digital Entertainment,2.63,94.0,82.0,8.7,8.0
148,PS2,Role-Playing,Square Enix,1.88,92.0,64.0,7.6,10.0
149,PS3,Action,Sony Computer Entertainment Europe,2.41,95.0,98.0,9.1,3.0
150,PS3,Platform,Sony Computer Entertainment,2.8,95.0,85.0,6.8,8.0
151,PS,Action,Virgin Interactive,1.88,89.0,13.0,9.2,18.0
152,DS,Role-Playing,Nintendo,0.63,87.0,65.0,8.8,7.0
153,PS,Fighting,Sony Computer Entertainment,2.26,89.0,8.0,8.9,20.0
154,PS4,Shooter,Activision,2.49,76.0,95.0,6.1,2.0
155,Wii,Action,LucasArts,3.57,80.0,17.0,8.9,9.0
156,DS,Simulation,505 Games,3.07,67.0,35.0,7.2,10.0
159,PS3,Action,Ubisoft,2.54,91.0,70.0,8.6,7.0
160,X360,Adventure,Ubisoft,3.28,81.0,77.0,7.7,9.0
161,X360,Racing,Microsoft Game Studios,2.99,92.0,90.0,8.0,7.0
162,GBA,Platform,Nintendo,3.14,84.0,19.0,7.8,15.0
163,PSP,Role-Playing,Capcom,0.47,81.0,48.0,8.7,8.0
164,PS3,Action,Warner Bros. Interactive Entertainment,2.71,96.0,42.0,8.6,5.0
165,XOne,Action,Take-Two Interactive,2.81,97.0,14.0,7.9,2.0
166,GBA,Racing,Nintendo,2.62,93.0,24.0,8.3,15.0
169,PS2,Platform,Universal Interactive,2.07,66.0,22.0,7.1,15.0
170,PS3,Shooter,Activision,2.73,85.0,45.0,7.6,8.0
171,PS4,Shooter,Sony Computer Entertainment,1.85,93.0,113.0,7.9,0.0
173,PS3,Role-Playing,Square Enix,1.74,83.0,83.0,7.3,7.0
175,PS,Role-Playing,SquareSoft,1.62,94.0,22.0,8.9,16.0
176,X360,Action,Ubisoft,3.13,84.0,61.0,6.7,4.0
177,PS2,Role-Playing,Electronic Arts,1.92,85.0,45.0,6.6,13.0
179,XOne,Shooter,Activision,3.22,81.0,53.0,5.4,2.0
181,X360,Action,Ubisoft,3.11,90.0,82.0,8.8,7.0
185,WiiU,Platform,Nintendo,2.3,84.0,70.0,8.1,4.0
186,PS2,Role-Playing,Square Enix,0.65,89.0,63.0,8.8,12.0
188,DS,Puzzle,Nintendo,1.21,85.0,72.0,8.6,9.0
190,X360,Action,Electronic Arts,1.09,90.0,48.0,6.1,4.0
192,PC,Role-Playing,Activision,2.44,88.0,86.0,4.0,4.0
193,PS2,Shooter,Electronic Arts,1.98,68.0,30.0,7.6,13.0
196,PS2,Misc,RedOctane,3.81,92.0,69.0,8.5,10.0
197,X360,Role-Playing,Microsoft Game Studios,3.59,80.0,88.0,6.5,6.0
199,PS3,Action,Capcom,1.96,84.0,76.0,7.5,7.0
200,DS,Action,Nintendo,1.85,90.0,57.0,8.0,9.0
202,PS3,Sports,Electronic Arts,0.61,89.0,51.0,8.0,6.0
203,PS,Action,Virgin Interactive,2.05,91.0,8.0,9.0,20.0
204,PSP,Action,Take-Two Interactive,1.7,86.0,50.0,8.0,10.0
205,PS,Sports,Activision,3.42,92.0,18.0,9.2,17.0
208,PS2,Misc,Activision,3.49,82.0,24.0,8.2,9.0
209,Wii,Shooter,Nintendo,3.05,68.0,34.0,7.1,9.0
211,X360,Role-Playing,Bethesda Softworks,3.4,93.0,84.0,8.5,8.0
212,PS3,Action,Sony Computer Entertainment,2.31,88.0,66.0,8.1,9.0
213,PS2,Sports,Electronic Arts,3.98,88.0,29.0,8.0,11.0
218,PC,Strategy,Activision,2.57,93.0,82.0,8.2,6.0
219,PS3,Adventure,Ubisoft,1.91,81.0,40.0,7.3,9.0
220,PS3,Action,Sony Computer Entertainment,2.74,92.0,101.0,8.7,6.0
221,PS,Racing,Sony Computer Entertainment,2.57,88.0,20.0,9.0,17.0
222,DS,Action,LucasArts,2.83,80.0,9.0,5.4,9.0
223,PS,Action,Atari,2.36,62.0,14.0,7.7,16.0
224,X360,Action,Warner Bros. Interactive Entertainment,2.99,94.0,87.0,8.7,5.0
227,PS,Sports,Activision,3.05,98.0,19.0,7.7,16.0
228,PS2,Action,Electronic Arts,1.94,82.0,32.0,8.2,14.0
229,PS,Action,Eidos Interactive,2.29,91.0,13.0,8.6,20.0
230,Wii,Simulation,Nintendo,1.82,73.0,50.0,7.6,8.0
231,PS4,Action,Sony Computer Entertainment,2.07,86.0,78.0,8.1,1.0
233,GC,Action,Nintendo,2.6,96.0,80.0,8.9,14.0
234,Wii,Misc,Activision,3.04,86.0,36.0,8.4,9.0
235,3DS,Action,Nintendo,1.8,86.0,74.0,8.4,3.0
236,X360,Racing,Microsoft Game Studios,2.08,91.0,83.0,8.2,5.0
238,PS2,Sports,Electronic Arts,4.18,91.0,30.0,7.9,12.0
239,X360,Misc,Activision,3.19,85.0,69.0,7.9,9.0
241,PS2,Sports,Electronic Arts,3.63,84.0,29.0,8.2,10.0
242,XOne,Shooter,Microsoft Game Studios,2.78,84.0,101.0,6.4,1.0
243,PS2,Action,Activision,2.71,76.0,25.0,7.9,14.0
245,PS4,Shooter,Activision,1.61,77.0,82.0,3.4,0.0
246,PS2,Action,Sony Computer Entertainment,2.71,94.0,75.0,8.9,11.0
247,WiiU,Shooter,Nintendo,1.54,81.0,88.0,8.5,1.0
248,WiiU,Misc,Nintendo,2.52,77.0,61.0,7.9,4.0
249,PS2,Sports,Activision,2.66,97.0,34.0,7.5,15.0
250,PS2,Sports,Konami Digital Entertainment,0.1,86.0,19.0,8.9,10.0
251,X360,Role-Playing,Take-Two Interactive,2.82,94.0,90.0,8.7,10.0
253,PS2,Racing,Electronic Arts,2.03,82.0,36.0,9.1,11.0
254,Wii,Misc,Ubisoft,2.64,56.0,37.0,8.3,6.0
256,PS3,Shooter,Sony Computer Entertainment,1.74,86.0,70.0,8.1,10.0
258,PS2,Role-Playing,Square Enix,2.2,87.0,64.0,9.0,11.0
260,WiiU,Platform,Nintendo,2.11,93.0,83.0,9.0,3.0
265,X360,Role-Playing,Microsoft Game Studios,2.51,89.0,95.0,6.5,8.0
266,GBA,Misc,Namco Bandai Games,3.0,79.0,10.0,7.3,15.0
267,PS3,Action,Eidos Interactive,2.24,91.0,70.0,8.9,7.0
268,PS2,Action,Konami Digital Entertainment,1.46,91.0,68.0,9.3,12.0
269,PS3,Action,Ubisoft,1.41,80.0,39.0,7.5,5.0
270,XOne,Role-Playing,Bethesda Softworks,2.51,88.0,39.0,6.2,1.0
271,X360,Sports,Electronic Arts,0.92,84.0,41.0,4.2,3.0
272,PSP,Platform,Sony Computer Entertainment,2.45,85.0,59.0,8.7,10.0
274,PS2,Sports,Electronic Arts,0.78,80.0,32.0,7.8,11.0
275,PS2,Misc,Sony Computer Entertainment,0.88,80.0,32.0,7.5,13.0
276,PS3,Racing,Sony Computer Entertainment,1.28,80.0,67.0,7.1,9.0
277,X360,Action,Ubisoft,2.25,80.0,77.0,7.2,5.0
280,PS3,Fighting,Capcom,2.03,94.0,61.0,7.3,7.0
283,PS2,Sports,Electronic Arts,3.36,95.0,25.0,7.7,14.0
284,PC,Shooter,Vivendi Games,4.03,96.0,24.0,9.1,19.0
288,PC,Role-Playing,Activision,2.57,91.0,46.0,7.9,9.0
289,PS4,Shooter,Electronic Arts,1.1,88.0,31.0,8.4,0.0
290,PS2,Action,Sony Computer Entertainment,2.32,93.0,70.0,8.9,9.0
292,X360,Role-Playing,Bethesda Softworks,2.66,84.0,81.0,8.1,6.0
293,X360,Racing,Microsoft Game Studios,2.35,90.0,66.0,8.3,9.0
294,Wii,Misc,Take-Two Interactive,2.12,56.0,27.0,6.0,9.0
295,PS4,Action,Ubisoft,1.4,80.0,80.0,6.3,2.0
297,PS2,Fighting,Namco Bandai Games,1.68,85.0,25.0,8.5,16.0
298,PS4,Shooter,Ubisoft,1.13,85.0,83.0,7.7,2.0
302,X360,Shooter,Electronic Arts,2.67,89.0,76.0,8.6,7.0
303,PS4,Role-Playing,Namco Bandai Games,1.02,92.0,79.0,9.2,1.0
304,PS4,Action,Ubisoft,1.19,70.0,40.0,4.9,2.0
305,PS4,Action,Warner Bros. Interactive Entertainment,1.53,87.0,89.0,7.6,1.0
306,Wii,Action,Nintendo,2.03,93.0,81.0,8.0,5.0
307,PS3,Role-Playing,Bethesda Softworks,2.15,90.0,57.0,8.0,8.0
308,DS,Puzzle,Nintendo,0.9,84.0,65.0,8.8,9.0
310,Wii,Sports,Electronic Arts,2.09,81.0,27.0,8.7,7.0
